status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
1,18,4,2,1049.0,1,2,4,2,1,4,2,21,3,1,1,3,2,1,2,1
1,9,4,0,2799.0,1,3,2,3,1,2,1,36,3,1,2,3,1,1,2,1
2,12,2,9,841.0,2,4,2,2,1,4,1,23,3,1,1,2,2,1,2,1
1,12,4,0,2122.0,1,3,3,3,1,2,1,39,3,1,2,2,1,1,1,1
1,12,4,0,2171.0,1,3,4,3,1,4,2,38,1,2,2,2,2,1,1,1
1,10,4,0,2241.0,1,2,1,3,1,3,1,48,3,1,2,2,1,1,1,1
1,8,4,0,3398.0,1,4,1,3,1,4,1,39,3,2,2,2,2,1,1,1
1,6,4,0,1361.0,1,2,2,3,1,4,1,40,3,2,1,2,1,1,1,1
4,18,4,3,1098.0,1,1,4,2,1,4,3,65,3,2,2,1,2,1,2,1
2,24,2,3,3758.0,3,1,1,2,1,4,4,23,3,1,1,1,2,1,2,1
1,11,4,0,3905.0,1,3,2,3,1,2,1,36,3,1,2,3,1,1,2,1
1,30,4,1,6187.0,2,4,1,4,1,4,3,24,3,1,2,3,2,1,2,1
1,6,4,3,1957.0,1,4,1,2,1,4,3,31,3,2,1,3,2,1,2,1
2,48,3,10,7582.0,2,1,2,3,1,4,4,31,3,2,1,4,2,2,2,1
1,18,2,3,1936.0,5,4,2,4,1,4,3,23,3,1,2,2,2,1,2,1
1,6,2,3,2647.0,3,3,2,3,1,3,1,44,3,1,1,3,1,1,2,1
1,11,4,0,3939.0,1,3,1,3,1,2,1,40,3,2,2,2,1,1,2,1
2,18,2,3,3213.0,3,2,1,4,1,3,1,25,3,1,1,3,2,1,2,1
2,36,4,3,2337.0,1,5,4,3,1,4,1,36,3,2,1,3,2,1,2,1
4,11,4,0,7228.0,1,3,1,3,1,4,2,39,3,2,2,2,2,1,2,1
1,6,4,0,3676.0,1,3,1,3,1,3,1,37,3,1,3,3,1,1,2,1
2,12,4,0,3124.0,1,2,1,3,1,3,1,49,1,2,2,2,1,1,2,1
2,36,2,5,2384.0,1,2,4,3,1,1,4,33,3,1,1,2,2,1,2,0
